"행정구역(시군구)별","연령별","항목","단위","2022.02 월",
"전국","계","총인구수[명]","명","51625561",
"전국","계","남자인구수[명]","명","25738197",
"전국","계","여자인구수[명]","명","25887364",
"전국","0세","총인구수[명]","명","250466",
"전국","0세","남자인구수[명]","명","128074",
"전국","0세","여자인구수[명]","명","122392",
"전국","1세","총인구수[명]","명","271905",
"전국","1세","남자인구수[명]","명","139370",
"전국","1세","여자인구수[명]","명","132535",
"전국","2세","총인구수[명]","명","299103",
"전국","2세","남자인구수[명]","명","153558",
"전국","2세","여자인구수[명]","명","145545",
"전국","3세","총인구수[명]","명","328264",
"전국","3세","남자인구수[명]","명","168411",
"전국","3세","여자인구수[명]","명","159853",
"전국","4세","총인구수[명]","명","358100",
"전국","4세","남자인구수[명]","명","184220",
"전국","4세","여자인구수[명]","명","173880",
"전국","5세","총인구수[명]","명","404555",
"전국","5세","남자인구수[명]","명","207016",
"전국","5세","여자인구수[명]","명","197539",
"전국","6세","총인구수[명]","명","440640",
"전국","6세","남자인구수[명]","명","225992",
"전국","6세","여자인구수[명]","명","214648",
"전국","7세","총인구수[명]","명","440572",
"전국","7세","남자인구수[명]","명","225474",
"전국","7세","여자인구수[명]","명","215098",
"전국","8세","총인구수[명]","명","438798",
"전국","8세","남자인구수[명]","명","224478",
"전국","8세","여자인구수[명]","명","214320",
"전국","9세","총인구수[명]","명","486447",
"전국","9세","남자인구수[명]","명","249471",
"전국","9세","여자인구수[명]","명","236976",
"전국","10세","총인구수[명]","명","475455",
"전국","10세","남자인구수[명]","명","244198",
"전국","10세","여자인구수[명]","명","231257",
"전국","11세","총인구수[명]","명","480274",
"전국","11세","남자인구수[명]","명","247038",
"전국","11세","여자인구수[명]","명","233236",
"전국","12세","총인구수[명]","명","447189",
"전국","12세","남자인구수[명]","명","230443",
"전국","12세","여자인구수[명]","명","216746",
"전국","13세","총인구수[명]","명","464959",
"전국","13세","남자인구수[명]","명","239331",
"전국","13세","여자인구수[명]","명","225628",
"전국","14세","총인구수[명]","명","498566",
"전국","14세","남자인구수[명]","명","256104",
"전국","14세","여자인구수[명]","명","242462",
"전국","15세","총인구수[명]","명","454898",
"전국","15세","남자인구수[명]","명","235093",
"전국","15세","여자인구수[명]","명","219805",
