월,diet: (전 세계),gym: (전 세계),finance: (전 세계)
2004-01,100,31,48
2004-02,76,26,48
2004-03,68,24,47
2004-04,70,22,47
2004-05,73,23,43
2004-06,66,24,44
2004-07,61,24,45
2004-08,59,26,44
2004-09,56,26,45
2004-10,52,24,44
2004-11,51,24,43
2004-12,43,24,40
2005-01,65,33,45
2005-02,56,29,47
2005-03,56,27,46
2005-04,56,25,44
2005-05,59,25,44
2005-06,54,25,44
2005-07,53,25,43
2005-08,53,27,44
2005-09,45,27,45
2005-10,47,26,44
2005-11,44,26,43
2005-12,39,25,39
2006-01,64,33,45
2006-02,52,29,45
2006-03,51,28,47
2006-04,51,26,46
2006-05,50,26,46
2006-06,52,26,45
2006-07,52,28,44
2006-08,50,30,45
2006-09,46,30,46
2006-10,43,28,46
2006-11,43,27,45
2006-12,37,26,40
2007-01,58,35,47
2007-02,49,33,49
2007-03,52,31,48
2007-04,53,32,47
2007-05,49,31,48
2007-06,49,30,48
2007-07,48,31,50
2007-08,45,32,54
2007-09,45,32,51
2007-10,43,28,51
2007-11,40,27,52
2007-12,35,27,43
2008-01,53,36,53
2008-02,46,31,51
2008-03,45,29,50
2008-04,48,28,52
2008-05,44,27,48
2008-06,43,27,51
2008-07,44,28,52
2008-08,45,32,49
2008-09,42,33,62
2008-10,42,29,73
2008-11,41,28,58
2008-12,38,28,53
2009-01,53,36,54
2009-02,47,30,57
2009-03,49,30,61
2009-04,50,29,59
2009-05,48,28,55
2009-06,47,28,55
2009-07,47,28,58
2009-08,49,31,56
2009-09,45,31,59
2009-10,45,28,55
2009-11,42,28,51
2009-12,40,27,47
2010-01,59,36,53
2010-02,51,32,54
2010-03,50,30,54
2010-04,51,30,56
2010-05,51,29,55
2010-06,47,28,53
2010-07,49,29,51
2010-08,48,31,51
2010-09,46,32,53
2010-10,46,29,50
2010-11,44,29,50
2010-12,40,28,46
2011-01,60,39,51
2011-02,52,34,52
2011-03,54,34,52
2011-04,59,32,49
2011-05,58,32,49
2011-06,54,32,49
2011-07,53,31,48
2011-08,52,34,57
2011-09,51,36,52
2011-10,49,33,49
2011-11,49,34,47
2011-12,45,32,41
2012-01,63,42,45
2012-02,57,38,47
2012-03,57,35,48
2012-04,57,35,45
2012-05,54,35,47
2012-06,54,36,44
2012-07,55,37,44
2012-08,55,38,45
2012-09,53,38,47
2012-10,47,35,47
2012-11,45,33,43
2012-12,42,33,40
2013-01,63,43,47
2013-02,57,39,47
2013-03,58,38,45
2013-04,60,38,48
2013-05,56,37,46
2013-06,54,37,44
2013-07,55,37,45
2013-08,53,40,46
2013-09,51,40,48
2013-10,47,38,49
2013-11,45,36,44
2013-12,41,36,39
2014-01,61,48,46
2014-02,53,43,47
2014-03,54,42,46
2014-04,55,41,47
2014-05,51,39,44
2014-06,50,40,45
2014-07,49,39,45
2014-08,46,41,45
2014-09,46,42,49
2014-10,43,38,48
2014-11,42,38,43
2014-12,38,39,43
2015-01,57,50,46
2015-02,48,44,46
2015-03,50,44,46
2015-04,51,43,46
2015-05,49,41,44
2015-06,48,43,45
2015-07,46,42,47
2015-08,47,44,48
2015-09,44,45,50
2015-10,43,40,47
2015-11,39,41,41
2015-12,37,41,41
2016-01,53,53,44
2016-02,48,48,47
2016-03,48,47,43
2016-04,49,46,43
2016-05,47,45,42
2016-06,44,46,45
2016-07,44,58,42
2016-08,45,54,42
2016-09,43,50,44
2016-10,40,46,41
2016-11,39,45,45
2016-12,36,45,39
2017-01,55,58,42
2017-02,57,51,44
2017-03,52,50,45
2017-04,50,49,43
2017-05,48,48,44
2017-06,48,51,43
2017-07,50,52,44
2017-08,47,51,43
2017-09,44,51,47
2017-10,44,47,48
2017-11,43,48,49
2017-12,39,46,52
2018-01,60,59,55
2018-02,54,52,50
2018-03,55,51,49
2018-04,57,50,47
2018-05,55,48,45
2018-06,52,50,44
2018-07,54,52,45
2018-08,50,52,48
2018-09,48,51,46
2018-10,46,47,48
2018-11,45,46,43
